# w   G_w   Sigma_w    chi_NN_w    chi_SS_w  (D: 1, T: 0.0001, U: 1.88, half-filling)
-2.347175681225109223e+00 6.106324674056660962e-03 -5.668739676823678630e-01 -1.918358473645049439e-02 -9.717349979216338696e-02 -3.484305844424211152e-03 4.520404476948341466e-01 -5.614498745918178324e-02 -2.008120123966600917e-02 -9.858864092143522148e-03 -3.673470696053338959e-03 -1.433552320728998962e-03
-2.323936318044662386e+00 6.668504156293073547e-03 -5.767788318547025783e-01 -2.094972366784332227e-02 -9.897310416484739193e-02 -3.817419425368957786e-03 4.465192886715783627e-01 -5.907337677031283124e-02 -2.043480321213559867e-02 -1.035941089281034247e-02 -3.722764218022953792e-03 -1.485666404995241406e-03
-2.300927047568972483e+00 7.279971661758146209e-03 -5.869665757094892911e-01 -2.287070549092127050e-02 -1.008298182524920428e-01 -4.181652594270363066e-03 4.409946742644423878e-01 -6.210009759357251746e-02 -2.078621968724162980e-02 -1.087922010002737548e-02 -3.771846255001480141e-03 -1.538524783074350036e-03
-2.278145591652447788e+00 7.944969275581090576e-03 -5.974482032522434594e-01 -2.495985710916217432e-02 -1.027462338456295310e-01 -4.579980480457573888e-03 4.354696496450222165e-01 -6.522465102919282331e-02 -2.113484106673748850e-02 -1.141873173654390713e-02 -3.820714563278961029e-03 -1.592092276738558314e-03
-2.255589694705393722e+00 8.668130451688052865e-03 -6.082348067626844879e-01 -2.723173494738116013e-02 -1.047250087717828126e-01 -5.015696023176863250e-03 4.299481869645651044e-01 -6.844636296492019600e-02 -2.148000475138410123e-02 -1.197837827526204366e-02 -3.869370788480196947e-03 -1.646333199211035296e-03
-2.233257123470687056e+00 9.454539481047088967e-03 -6.193386351119812838e-01 -2.970231177673218759e-02 -1.067690655165043356e-01 -5.492462235384173996e-03 4.244324315478646970e-01 -7.176424340847499528e-02 -2.182101625347196081e-02 -1.255858251363429524e-02 -3.917818595932824784e-03 -1.701211546675891403e-03
-2.211145666802660337e+00 1.030978295998237482e-02 -6.307719235071981290e-01 -3.238913840718585929e-02 -1.088813784246289718e-01 -6.014359341146385818e-03 4.189257373906368209e-01 -7.517724206674149257e-02 -2.215713880794390953e-02 -1.315975523753309950e-02 -3.966064958683210122e-03 -1.756691193566790529e-03
-2.189253135448178345e+00 1.124000846027483833e-02 -6.425475210632365375e-01 -3.531152800508655099e-02 -1.110650899586020923e-01 -6.585942540699274428e-03 4.134310217530565157e-01 -7.868407773033422870e-02 -2.248759645712805968e-02 -1.378229266984621823e-02 -4.014119518066883684e-03 -1.812736090419821491e-03
-2.167577361829879479e+00 1.225200302521122983e-02 -6.546787899867434479e-01 -3.849080269576352076e-02 -1.133234920223449294e-01 -7.212314519051785111e-03 4.079509989175907902e-01 -8.228331014570300361e-02 -2.281157073091628906e-02 -1.442657370106911231e-02 -4.061994878012752976e-03 -1.869310463051512177e-03
-2.146116199831563875e+00 1.335327540069326975e-02 -6.671795197862699922e-01 -4.195055190017927399e-02 -1.156600077774456725e-01 -7.899205269833675658e-03 4.024883078850419738e-01 -8.597334907483253352e-02 -2.312819884758622949e-02 -1.509295690141337042e-02 -4.109706761209509784e-03 -1.926379011808463477e-03
-2.124867524585706935e+00 1.455215501452562267e-02 -6.800639224936133598e-01 -4.571694328753356240e-02 -1.180781855650077095e-01 -8.653068078256304085e-03 3.970454080963349841e-01 -8.975246102389801417e-02 -2.343657383407926967e-02 -1.578177731642527171e-02 -4.157273243454759348e-03 -1.983907109630627524e-03
-2.103829232263076054e+00 1.585790642736860379e-02 -6.933465513700063365e-01 -4.981908233353556786e-02 -1.205816743884389197e-01 -9.481191769495952992e-03 3.916245876453903207e-01 -9.361878531196707320e-02 -2.373574616700965118e-02 -1.649334305078840532e-02 -4.204715446433738429e-03 -2.041860997676305661e-03
